sona_id,red_jar_percentage,green_jar_percentage,red_jar_initial_probability,red_jar_initial_confidence,green_jar_initial_probability,green_jar_initial_confidence,experiment_start_time,experiment_end_time,demographics_gender,demographics_academic_year,demographics_major,demographics_minor,trial_type,phase,trial_number,timestamp,jar_type,jar_percentage,drawn_ball,ball_sequence,ball_sequence_length,estimated_probability,confidence,reaction_time,sample_balls,correct_jar,incorrect_jar,selected_jar,is_correct
,12,79,50,7,,,2026-02-24T15:31:20.095+00:00,2026-02-24T15:55:45.204+00:00,female,masters,english,,experiment,1,21,2026-02-24T15:09:47.483+00:00,red,0,white,"[""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white""]",21,35,6,8626,,,,,
,12,79,50,7,,,2026-02-24T15:31:20.095+00:00,2026-02-24T15:55:45.204+00:00,female,masters,english,,experiment,1,22,2026-02-24T15:09:56.399+00:00,red,0,white,"[""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white""]",22,25,6,7375,,,,,
,12,79,50,7,,,2026-02-24T15:31:20.095+00:00,2026-02-24T15:55:45.204+00:00,female,masters,english,,experiment,1,23,2026-02-24T15:10:06.316+00:00,red,0,white,"[""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white""]",23,25,5,8377,,,,,
,12,79,50,7,,,2026-02-24T15:31:20.095+00:00,2026-02-24T15:55:45.204+00:00,female,masters,english,,experiment,1,24,2026-02-24T15:10:18.866+00:00,red,0,white,"[""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white""]",24,30,5,11009,,,,,
,12,79,50,7,,,2026-02-24T15:31:20.095+00:00,2026-02-24T15:55:45.204+00:00,female,masters,english,,experiment,1,25,2026-02-24T15:10:33.833+00:00,red,0,white,"[""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white""]",25,30,5,13426,,,,,
,12,79,50,7,,,2026-02-24T15:31:20.095+00:00,2026-02-24T15:55:45.204+00:00,female,masters,english,,experiment,1,26,2026-02-24T15:10:42.482+00:00,red,0,white,"[""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white""]",26,30,5,7109,,,,,
,12,79,50,7,,,2026-02-24T15:31:20.095+00:00,2026-02-24T15:55:45.204+00:00,female,masters,english,,experiment,1,27,2026-02-24T15:10:51.167+00:00,red,0,white,"[""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white""]",27,30,5,7143,,,,,
,12,79,50,7,,,2026-02-24T15:31:20.095+00:00,2026-02-24T15:55:45.204+00:00,female,masters,english,,experiment,1,28,2026-02-24T15:10:59.266+00:00,red,0,white,"[""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white""]",28,30,5,6559,,,,,
,12,79,50,7,,,2026-02-24T15:31:20.095+00:00,2026-02-24T15:55:45.204+00:00,female,masters,english,,experiment,1,29,2026-02-24T15:11:23.849+00:00,red,0,white,"[""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white""]",29,30,5,23042,,,,,
,12,79,50,7,,,2026-02-24T15:31:20.095+00:00,2026-02-24T15:55:45.204+00:00,female,masters,english,,experiment,1,30,2026-02-24T15:11:32.866+00:00,red,0,white,"[""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white""]",30,25,3,7476,,,,,
,12,79,50,7,,,2026-02-24T15:31:20.095+00:00,2026-02-24T15:55:45.204+00:00,female,masters,english,,experiment,1,31,2026-02-24T15:11:45.815+00:00,red,0,white,"[""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white""]",31,20,3,11408,,,,,
,12,79,50,7,,,2026-02-24T15:31:20.095+00:00,2026-02-24T15:55:45.204+00:00,female,masters,english,,experiment,1,32,2026-02-24T15:11:54.266+00:00,red,0,white,"[""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white""]",32,25,4,6910,,,,,
,12,79,50,7,,,2026-02-24T15:31:20.095+00:00,2026-02-24T15:55:45.204+00:00,female,masters,english,,experiment,1,33,2026-02-24T15:12:01.966+00:00,red,0,white,"[""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white"", ""white""]",33,20,3,6159,,,,,
